Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
765,Providence College,2.36,Bachelors,Providence,N/A,N/A,1,0,1,Data Scientist,03/15,09/16,N/A,N/A,N/A,N/A,N/A,N/A,3.61,0
766,Providence College,2.92,Masters,Providence,N/A,1,0,0,4,Data Scientist,10/15,10/16,N/A,N/A,N/A,N/A,N/A,N/A,8.32,0
767,Providence College,3.12,Phd,Providence,F,N/A,1,1,0,Data Scientist,05/15,04/17,N/A,N/A,N/A,N/A,N/A,N/A,6.74,0
768,Providence College,3.73,Masters,Providence,M,N/A,1,N/A,2,Data Scientist,11/15,08/16,N/A,N/A,N/A,N/A,N/A,N/A,8.39,0
769,Providence College,2.96,Bachelors,Providence,N/A,N/A,0,1,2,Data Scientist,03/20,03/22,N/A,N/A,N/A,N/A,N/A,N/A,5.79,0
770,Providence College,3.8,Masters,Providence,M,0,1,0,4,Data Scientist,08/20,02/22,N/A,N/A,N/A,N/A,N/A,N/A,3.02,1
771,Providence College,3.35,Phd,Providence,N/A,1,0,1,4,Data Scientist,05/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,3.62,0
772,Providence College,2.27,Bachelors,Providence,F,1,1,1,3,Data Scientist,09/21,02/22,N/A,N/A,N/A,N/A,N/A,N/A,0.45,0
773,Providence College,3.99,Phd,Providence,F,1,0,1,3,Data Scientist,10/14,09/16,N/A,N/A,N/A,N/A,N/A,N/A,4.09,0
774,Providence College,3.05,Phd,Providence,N/A,N/A,0,N/A,1,Data Scientist,08/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,5.92,0
775,Providence College,2.78,Masters,Providence,N/A,0,1,0,0,Data Scientist,01/17,10/17,N/A,N/A,N/A,N/A,N/A,N/A,0.68,0
776,Providence College,3.32,Phd,Providence,N/A,N/A,0,N/A,0,Data Scientist,06/15,01/16,N/A,N/A,N/A,N/A,N/A,N/A,5.89,0
777,Providence College,2.22,Bachelors,Providence,F,1,1,1,4,Data Scientist,09/14,11/15,N/A,N/A,N/A,N/A,N/A,N/A,8.31,0
778,Providence College,3.27,Phd,Providence,F,N/A,0,N/A,1,Data Scientist,02/21,12/22,N/A,N/A,N/A,N/A,N/A,N/A,0.7,0
779,Providence College,3.0,Phd,Providence,M,N/A,0,0,1,Data Scientist,09/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,5.29,1
780,Providence College,2.81,Masters,Providence,F,1,0,0,3,Data Scientist,09/19,08/21,N/A,N/A,N/A,N/A,N/A,N/A,0.78,1
781,Providence College,3.91,Phd,Providence,N/A,N/A,1,1,2,Data Scientist,07/20,11/21,N/A,N/A,N/A,N/A,N/A,N/A,4.4,0
782,Providence College,3.05,Masters,Providence,M,N/A,0,1,0,Data Scientist,05/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A,9.85,0
783,Providence College,2.44,Masters,Providence,F,0,0,N/A,1,Data Scientist,03/15,09/15,N/A,N/A,N/A,N/A,N/A,N/A,7.04,0
784,Providence College,2.92,Bachelors,Providence,F,N/A,0,0,3,Data Scientist,06/15,10/15,N/A,N/A,N/A,N/A,N/A,N/A,5.41,1
785,Providence College,3.84,Bachelors,Providence,N/A,0,1,0,3,Data Scientist,07/14,06/16,N/A,N/A,N/A,N/A,N/A,N/A,6.3,0
786,Providence College,2.35,Bachelors,Providence,M,1,1,N/A,3,Data Scientist,12/19,03/20,N/A,N/A,N/A,N/A,N/A,N/A,4.61,1
787,Providence College,2.43,Bachelors,Providence,F,0,0,0,2,Data Scientist,09/15,10/16,N/A,N/A,N/A,N/A,N/A,N/A,3.12,0
788,Providence College,2.03,Masters,Providence,F,N/A,0,1,1,Data Scientist,10/19,07/21,N/A,N/A,N/A,N/A,N/A,N/A,7.59,1
789,Providence College,2.03,Phd,Providence,N/A,1,1,1,4,Data Scientist,03/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,7.76,0
790,Providence College,3.66,Bachelors,Providence,M,N/A,0,N/A,4,Data Scientist,11/19,03/21,N/A,N/A,N/A,N/A,N/A,N/A,1.46,0
791,Providence College,3.46,Bachelors,Providence,M,N/A,0,N/A,3,Data Scientist,07/20,07/22,N/A,N/A,N/A,N/A,N/A,N/A,9.09,1
792,Providence College,2.71,Bachelors,Providence,M,0,0,N/A,3,Data Scientist,06/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,9.23,0
793,Providence College,3.4,Phd,Providence,M,N/A,0,1,2,Data Scientist,01/19,07/20,N/A,N/A,N/A,N/A,N/A,N/A,6.88,1
794,Providence College,2.79,Bachelors,Providence,N/A,0,0,N/A,3,Data Scientist,02/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0
795,Providence College,3.91,Phd,Providence,F,1,0,0,1,Data Scientist,08/21,05/23,N/A,N/A,N/A,N/A,N/A,N/A,7.58,0
796,Providence College,3.93,Masters,Providence,F,1,1,N/A,3,Data Scientist,12/21,04/23,N/A,N/A,N/A,N/A,N/A,N/A,9.09,1
797,Providence College,2.79,Masters,Providence,M,N/A,0,0,3,Data Scientist,08/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A,9.55,1
798,Providence College,3.71,Masters,Providence,M,0,0,1,1,Data Scientist,01/15,10/15,N/A,N/A,N/A,N/A,N/A,N/A,1.7,1
799,Providence College,3.55,Phd,Providence,M,N/A,1,0,0,Data Scientist,09/20,11/21,N/A,N/A,N/A,N/A,N/A,N/A,3.17,1
800,Providence College,2.62,Bachelors,Providence,F,N/A,1,0,4,Data Scientist,03/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,3.85,1
801,Providence College,2.46,Bachelors,Providence,F,N/A,1,0,3,Data Scientist,10/17,01/19,N/A,N/A,N/A,N/A,N/A,N/A,3.2,0
802,Providence College,2.92,Bachelors,Providence,M,N/A,1,1,1,Data Scientist,06/21,03/22,N/A,N/A,N/A,N/A,N/A,N/A,2.75,0
803,Providence College,3.56,Bachelors,Providence,N/A,0,0,0,4,Data Scientist,06/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A,3.55,0
804,Providence College,3.92,Bachelors,Providence,F,N/A,1,0,2,Data Scientist,12/18,01/20,N/A,N/A,N/A,N/A,N/A,N/A,8.85,0
805,Providence College,3.53,Phd,Providence,F,1,0,N/A,0,Data Scientist,03/21,10/22,N/A,N/A,N/A,N/A,N/A,N/A,3.72,1
806,Providence College,3.71,Masters,Providence,M,0,1,N/A,3,Data Scientist,06/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,0.05,0
807,Providence College,3.21,Bachelors,Providence,N/A,N/A,1,N/A,0,Data Scientist,03/14,01/15,N/A,N/A,N/A,N/A,N/A,N/A,0.03,0
808,Providence College,3.67,Masters,Providence,M,0,1,0,3,Data Scientist,04/17,12/18,N/A,N/A,N/A,N/A,N/A,N/A,0.49,1
809,Providence College,3.57,Phd,Providence,M,N/A,0,0,3,Data Scientist,10/14,03/15,N/A,N/A,N/A,N/A,N/A,N/A,3.06,1
810,Providence College,2.75,Phd,Providence,N/A,1,1,1,3,Data Scientist,12/14,01/17,N/A,N/A,N/A,N/A,N/A,N/A,8.63,0
811,Providence College,3.1,Bachelors,Providence,N/A,1,1,0,0,Data Scientist,05/15,12/16,N/A,N/A,N/A,N/A,N/A,N/A,3.57,0
812,Providence College,3.61,Phd,Providence,N/A,1,1,0,2,Data Scientist,11/20,05/21,N/A,N/A,N/A,N/A,N/A,N/A,0.07,0
813,Providence College,2.09,Masters,Providence,F,0,0,1,1,Data Scientist,03/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A,9.09,0
814,Providence College,3.62,Bachelors,Providence,M,1,0,0,1,Data Scientist,05/15,02/16,N/A,N/A,N/A,N/A,N/A,N/A,6.83,0
815,Providence College,2.36,Bachelors,Providence,F,N/A,1,1,2,Data Scientist,01/15,04/15,N/A,N/A,N/A,N/A,N/A,N/A,3.51,1
816,Providence College,3.03,Masters,Providence,N/A,N/A,0,1,2,Data Scientist,07/17,11/17,N/A,N/A,N/A,N/A,N/A,N/A,4.34,0
817,Providence College,3.62,Bachelors,Providence,F,N/A,1,N/A,3,Data Scientist,12/21,11/23,N/A,N/A,N/A,N/A,N/A,N/A,8.19,1
818,Providence College,2.51,Bachelors,Providence,N/A,0,0,0,3,Data Scientist,08/17,05/19,N/A,N/A,N/A,N/A,N/A,N/A,1.76,0
819,Providence College,2.49,Masters,Providence,N/A,0,1,N/A,1,Data Scientist,04/19,07/19,N/A,N/A,N/A,N/A,N/A,N/A,6.88,0
820,Providence College,2.81,Bachelors,Providence,M,1,0,0,3,Data Scientist,10/14,06/15,N/A,N/A,N/A,N/A,N/A,N/A,1.03,1
821,Providence College,3.79,Bachelors,Providence,M,0,1,N/A,3,Data Scientist,05/18,10/19,N/A,N/A,N/A,N/A,N/A,N/A,5.96,1
822,Providence College,2.0,Masters,Providence,M,N/A,0,1,2,Data Scientist,12/17,09/19,N/A,N/A,N/A,N/A,N/A,N/A,7.84,1
823,Providence College,3.8,Phd,Providence,F,N/A,0,1,0,Data Scientist,07/16,11/16,N/A,N/A,N/A,N/A,N/A,N/A,4.88,1
824,Providence College,2.31,Masters,Providence,M,N/A,1,1,4,Data Scientist,07/21,12/21,N/A,N/A,N/A,N/A,N/A,N/A,9.92,0
825,Providence College,3.98,Bachelors,Providence,N/A,0,1,1,4,Data Scientist,01/15,05/15,N/A,N/A,N/A,N/A,N/A,N/A,4.72,0
826,Providence College,3.91,Masters,Providence,M,N/A,0,0,3,Data Scientist,01/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,9.7,1
827,Providence College,2.99,Bachelors,Providence,F,1,1,0,3,Data Scientist,03/14,08/14,N/A,N/A,N/A,N/A,N/A,N/A,1.48,0
828,Providence College,3.03,Bachelors,Providence,M,0,1,N/A,4,Data Scientist,11/16,11/17,N/A,N/A,N/A,N/A,N/A,N/A,6.21,1
829,Providence College,2.96,Masters,Providence,M,N/A,1,0,2,Data Scientist,07/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,0.9,1
830,Providence College,3.27,Bachelors,Providence,M,N/A,1,0,4,Data Scientist,08/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A,5.55,0
831,Providence College,2.18,Phd,Providence,F,0,0,N/A,4,Data Scientist,11/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,0.39,0
832,Providence College,2.07,Bachelors,Providence,N/A,0,1,1,4,Data Scientist,04/21,06/22,N/A,N/A,N/A,N/A,N/A,N/A,5.28,0
833,Providence College,2.12,Masters,Providence,N/A,1,0,N/A,3,Data Scientist,08/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,8.76,0
834,Providence College,2.89,Phd,Providence,N/A,0,0,N/A,3,Data Scientist,05/19,10/19,N/A,N/A,N/A,N/A,N/A,N/A,3.43,0
835,Providence College,2.55,Phd,Providence,M,N/A,1,1,4,Data Scientist,03/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A,6.15,0
836,Providence College,3.24,Bachelors,Providence,M,1,1,N/A,3,Data Scientist,08/19,05/21,N/A,N/A,N/A,N/A,N/A,N/A,2.69,0
837,Providence College,3.98,Masters,Providence,F,N/A,0,N/A,4,Data Scientist,12/14,06/15,N/A,N/A,N/A,N/A,N/A,N/A,7.52,0
838,Providence College,2.77,Bachelors,Providence,N/A,N/A,1,N/A,2,Data Scientist,01/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,7.77,0
839,Providence College,3.15,Bachelors,Providence,M,N/A,1,0,3,Data Scientist,02/14,07/14,N/A,N/A,N/A,N/A,N/A,N/A,0.69,1
840,Providence College,2.83,Masters,Providence,M,0,0,1,0,Data Scientist,10/21,09/23,N/A,N/A,N/A,N/A,N/A,N/A,8.47,1
841,Providence College,3.69,Masters,Providence,M,0,0,1,3,Data Scientist,01/14,01/15,N/A,N/A,N/A,N/A,N/A,N/A,3.13,1
842,Providence College,3.8,Bachelors,Providence,F,N/A,0,N/A,2,Data Scientist,11/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A,4.88,1
843,Providence College,3.75,Phd,Providence,N/A,0,1,0,2,Data Scientist,04/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,5.27,0
844,Providence College,3.95,Bachelors,Providence,F,N/A,1,1,3,Data Scientist,01/19,06/20,N/A,N/A,N/A,N/A,N/A,N/A,2.01,1
845,Providence College,2.06,Phd,Providence,N/A,0,0,1,1,Data Scientist,02/20,10/20,N/A,N/A,N/A,N/A,N/A,N/A,7.43,0
846,Providence College,3.68,Bachelors,Providence,N/A,0,0,N/A,4,Data Scientist,06/15,08/16,N/A,N/A,N/A,N/A,N/A,N/A,1.24,0
847,Providence College,3.5,Masters,Providence,M,0,1,N/A,4,Data Scientist,07/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A,2.62,1
848,Providence College,2.46,Phd,Providence,M,1,1,N/A,2,Data Scientist,02/14,01/16,N/A,N/A,N/A,N/A,N/A,N/A,5.5,1
849,Providence College,3.91,Masters,Providence,M,0,1,1,3,Data Scientist,01/17,09/17,N/A,N/A,N/A,N/A,N/A,N/A,1.43,1
850,Providence College,2.3,Masters,Providence,M,1,0,N/A,1,Data Scientist,01/18,09/18,N/A,N/A,N/A,N/A,N/A,N/A,0.89,1
851,Providence College,3.36,Masters,Providence,M,1,1,N/A,0,Data Scientist,09/16,06/18,N/A,N/A,N/A,N/A,N/A,N/A,2.28,0
852,Providence College,2.45,Masters,Providence,N/A,1,1,N/A,4,Data Scientist,08/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,0.7,0
853,Providence College,2.86,Masters,Providence,M,N/A,0,0,1,Data Scientist,12/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A,2.92,1
854,Providence College,3.44,Bachelors,Providence,M,0,1,N/A,4,Data Scientist,02/14,07/15,N/A,N/A,N/A,N/A,N/A,N/A,1.13,0
855,Providence College,3.13,Phd,Providence,F,N/A,0,1,3,Data Scientist,12/15,03/17,N/A,N/A,N/A,N/A,N/A,N/A,6.01,0
856,Providence College,2.86,Bachelors,Providence,F,1,1,N/A,4,Data Scientist,10/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,8.34,1
857,Providence College,2.65,Bachelors,Providence,N/A,0,0,1,0,Data Scientist,05/17,01/19,N/A,N/A,N/A,N/A,N/A,N/A,6.5,0
858,Providence College,3.68,Bachelors,Providence,N/A,N/A,0,0,3,Data Scientist,04/17,05/18,N/A,N/A,N/A,N/A,N/A,N/A,6.01,0
859,Providence College,2.29,Masters,Providence,F,1,0,0,2,Data Scientist,11/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A,3.29,0
860,Providence College,2.86,Bachelors,Providence,F,N/A,1,N/A,1,Data Scientist,01/15,04/16,N/A,N/A,N/A,N/A,N/A,N/A,9.13,1
861,Providence College,3.81,Phd,Providence,M,N/A,1,1,4,Data Scientist,10/14,04/16,N/A,N/A,N/A,N/A,N/A,N/A,2.98,1
862,Providence College,3.69,Bachelors,Providence,M,0,1,N/A,3,Data Scientist,07/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,1.92,1
863,Providence College,2.8,Masters,Providence,N/A,0,1,N/A,3,Data Scientist,11/14,04/16,N/A,N/A,N/A,N/A,N/A,N/A,9.12,0
864,Providence College,3.53,Phd,Providence,F,N/A,0,1,4,Data Scientist,07/21,04/22,N/A,N/A,N/A,N/A,N/A,N/A,3.67,0
865,Providence College,3.65,Phd,Providence,N/A,0,1,1,2,Data Scientist,07/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A,5.32,0
866,Providence College,3.78,Phd,Providence,M,0,1,1,4,Data Scientist,01/14,11/15,N/A,N/A,N/A,N/A,N/A,N/A,9.63,1
867,Providence College,3.09,Phd,Providence,N/A,N/A,0,1,2,Data Scientist,10/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,2.14,0
868,Providence College,2.41,Bachelors,Providence,N/A,0,0,1,4,Data Scientist,09/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,4.63,0
869,Providence College,2.51,Masters,Providence,N/A,0,0,0,3,Data Scientist,05/18,10/19,N/A,N/A,N/A,N/A,N/A,N/A,1.39,0
870,Providence College,2.59,Phd,Providence,M,1,0,0,0,Data Scientist,12/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A,9.84,1
871,Providence College,3.19,Phd,Providence,N/A,0,1,0,0,Data Scientist,12/16,05/17,N/A,N/A,N/A,N/A,N/A,N/A,6.44,0
872,Providence College,2.07,Masters,Providence,M,1,0,1,3,Data Scientist,10/16,02/17,N/A,N/A,N/A,N/A,N/A,N/A,2.44,1
873,Providence College,3.27,Bachelors,Providence,F,N/A,1,1,0,Data Scientist,06/16,12/16,N/A,N/A,N/A,N/A,N/A,N/A,2.87,0
874,Providence College,2.73,Phd,Providence,N/A,1,1,1,2,Data Scientist,10/18,02/20,N/A,N/A,N/A,N/A,N/A,N/A,6.23,0
875,Providence College,2.59,Bachelors,Providence,N/A,N/A,0,N/A,3,Data Scientist,08/16,06/18,N/A,N/A,N/A,N/A,N/A,N/A,8.47,0
876,Providence College,3.76,Bachelors,Providence,M,0,0,0,2,Data Scientist,12/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,1.05,0
877,Providence College,2.92,Bachelors,Providence,N/A,0,0,0,3,Data Scientist,12/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A,2.76,0
878,Providence College,2.19,Bachelors,Providence,M,1,0,N/A,2,Data Scientist,05/16,05/18,N/A,N/A,N/A,N/A,N/A,N/A,3.29,1
879,Providence College,3.65,Phd,Providence,N/A,N/A,0,N/A,2,Data Scientist,10/16,05/17,N/A,N/A,N/A,N/A,N/A,N/A,0.98,0
880,Providence College,2.1,Phd,Providence,F,0,1,0,0,Data Scientist,10/19,08/20,N/A,N/A,N/A,N/A,N/A,N/A,1.66,1
881,Providence College,3.45,Bachelors,Providence,F,1,0,1,3,Data Scientist,04/17,03/18,N/A,N/A,N/A,N/A,N/A,N/A,2.29,1
882,Providence College,3.55,Bachelors,Providence,F,1,1,0,4,Data Scientist,11/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,9.08,0
883,Providence College,2.71,Masters,Providence,N/A,1,0,1,0,Data Scientist,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,4.15,0
884,Providence College,3.65,Masters,Providence,N/A,0,1,0,2,Data Scientist,08/20,02/22,N/A,N/A,N/A,N/A,N/A,N/A,9.97,0
885,Providence College,3.03,Masters,Providence,F,N/A,1,0,2,Data Scientist,07/14,04/16,N/A,N/A,N/A,N/A,N/A,N/A,6.62,1
886,Providence College,2.93,Phd,Providence,F,0,1,N/A,4,Data Scientist,06/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,5.85,0
887,Providence College,2.09,Masters,Providence,M,0,0,N/A,4,Data Scientist,06/14,08/14,N/A,N/A,N/A,N/A,N/A,N/A,1.87,1
888,Providence College,2.58,Phd,Providence,M,N/A,0,1,2,Data Scientist,04/14,12/15,N/A,N/A,N/A,N/A,N/A,N/A,2.33,0
889,Providence College,3.86,Phd,Providence,F,1,0,1,4,Data Scientist,07/20,12/21,N/A,N/A,N/A,N/A,N/A,N/A,7.96,0
890,Providence College,2.78,Phd,Providence,F,0,1,0,1,Data Scientist,03/14,11/14,N/A,N/A,N/A,N/A,N/A,N/A,4.92,0
891,Providence College,3.09,Phd,Providence,N/A,1,1,N/A,0,Data Scientist,05/18,05/20,N/A,N/A,N/A,N/A,N/A,N/A,1.73,0
892,Providence College,3.06,Masters,Providence,F,1,0,1,3,Data Scientist,02/18,06/19,N/A,N/A,N/A,N/A,N/A,N/A,9.55,1
893,Providence College,3.18,Bachelors,Providence,M,N/A,0,1,4,Data Scientist,06/16,05/17,N/A,N/A,N/A,N/A,N/A,N/A,4.86,1
894,Providence College,2.12,Bachelors,Providence,M,N/A,1,1,4,Data Scientist,10/21,02/22,N/A,N/A,N/A,N/A,N/A,N/A,6.8,0
895,Providence College,2.72,Bachelors,Providence,M,N/A,1,0,1,Data Scientist,04/14,11/15,N/A,N/A,N/A,N/A,N/A,N/A,5.78,0
896,Providence College,3.45,Masters,Providence,M,1,0,1,3,Data Scientist,01/16,12/17,N/A,N/A,N/A,N/A,N/A,N/A,9.36,0
897,Providence College,2.4,Bachelors,Providence,M,1,0,1,1,Data Scientist,12/20,09/21,N/A,N/A,N/A,N/A,N/A,N/A,1.75,0
898,Providence College,2.41,Masters,Providence,M,0,0,N/A,3,Data Scientist,03/19,01/20,N/A,N/A,N/A,N/A,N/A,N/A,2.85,0
899,Providence College,2.02,Masters,Providence,F,1,1,N/A,0,Data Scientist,05/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,5.32,1
900,Providence College,2.87,Masters,Providence,M,N/A,1,N/A,4,Data Scientist,12/14,03/15,N/A,N/A,N/A,N/A,N/A,N/A,2.97,1
901,Providence College,3.77,Bachelors,Providence,M,N/A,0,0,0,Data Scientist,06/16,10/17,N/A,N/A,N/A,N/A,N/A,N/A,1.41,0
902,Providence College,2.1,Bachelors,Providence,M,N/A,0,N/A,3,Data Scientist,06/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A,8.34,1
903,Providence College,2.38,Bachelors,Providence,M,N/A,0,N/A,4,Data Scientist,05/18,10/19,N/A,N/A,N/A,N/A,N/A,N/A,8.64,1
904,Providence College,2.62,Phd,Providence,F,1,0,N/A,1,Data Scientist,07/15,05/17,N/A,N/A,N/A,N/A,N/A,N/A,7.11,0
905,Providence College,3.46,Masters,Providence,N/A,N/A,0,N/A,2,Data Scientist,08/20,05/21,N/A,N/A,N/A,N/A,N/A,N/A,1.96,0
906,Providence College,3.28,Phd,Providence,N/A,0,1,1,1,Data Scientist,05/17,08/17,N/A,N/A,N/A,N/A,N/A,N/A,9.9,0
907,Providence College,2.83,Masters,Providence,N/A,1,0,0,2,Data Scientist,10/15,05/16,N/A,N/A,N/A,N/A,N/A,N/A,3.12,0
908,Providence College,3.52,Bachelors,Providence,N/A,N/A,1,1,1,Data Scientist,05/15,02/17,N/A,N/A,N/A,N/A,N/A,N/A,8.65,0
909,Providence College,3.22,Masters,Providence,M,0,1,1,3,Data Scientist,06/17,10/17,N/A,N/A,N/A,N/A,N/A,N/A,4.47,0
910,Providence College,3.79,Masters,Providence,N/A,N/A,1,0,0,Data Scientist,12/16,02/17,N/A,N/A,N/A,N/A,N/A,N/A,3.85,0
911,Providence College,3.64,Phd,Providence,N/A,1,1,1,2,Data Scientist,02/15,11/15,N/A,N/A,N/A,N/A,N/A,N/A,3.29,0
912,Providence College,2.51,Masters,Providence,F,1,1,N/A,3,Data Scientist,01/15,10/16,N/A,N/A,N/A,N/A,N/A,N/A,5.48,0
913,Providence College,2.54,Bachelors,Providence,F,0,1,0,0,Data Scientist,06/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A,3.96,0
914,Providence College,2.25,Masters,Providence,F,1,1,1,0,Data Scientist,01/14,10/15,N/A,N/A,N/A,N/A,N/A,N/A,3.36,0
915,Providence College,2.67,Masters,Providence,M,0,1,1,4,Data Scientist,10/20,08/22,N/A,N/A,N/A,N/A,N/A,N/A,7.13,0
916,Providence College,4.0,Masters,Providence,M,N/A,0,N/A,4,Data Scientist,08/20,11/20,N/A,N/A,N/A,N/A,N/A,N/A,2.22,0
917,Providence College,2.81,Phd,Providence,M,1,0,1,4,Data Scientist,04/15,12/15,N/A,N/A,N/A,N/A,N/A,N/A,5.59,1
918,Providence College,2.44,Masters,Providence,F,N/A,0,1,2,Data Scientist,03/15,02/16,N/A,N/A,N/A,N/A,N/A,N/A,3.65,0
919,Providence College,3.52,Masters,Providence,N/A,N/A,0,1,2,Data Scientist,04/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A,9.3,0
920,Providence College,3.08,Phd,Providence,F,1,0,0,0,Data Scientist,02/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,8.03,1
921,Providence College,2.3,Phd,Providence,M,N/A,1,0,2,Data Scientist,06/14,01/15,N/A,N/A,N/A,N/A,N/A,N/A,3.74,1
922,Providence College,2.76,Phd,Providence,F,0,1,1,0,Data Scientist,08/20,01/21,N/A,N/A,N/A,N/A,N/A,N/A,6.95,0
923,Providence College,2.83,Phd,Providence,N/A,0,1,1,3,Data Scientist,02/17,03/18,N/A,N/A,N/A,N/A,N/A,N/A,9.59,0
924,Providence College,3.51,Bachelors,Providence,M,0,1,N/A,1,Data Scientist,02/15,11/16,N/A,N/A,N/A,N/A,N/A,N/A,9.42,0
925,Providence College,2.04,Bachelors,Providence,N/A,1,1,0,0,Data Scientist,05/19,04/21,N/A,N/A,N/A,N/A,N/A,N/A,9.8,0
926,Providence College,2.54,Masters,Providence,N/A,N/A,0,0,0,Data Scientist,12/17,10/19,N/A,N/A,N/A,N/A,N/A,N/A,0.54,0
927,Providence College,3.04,Bachelors,Providence,M,N/A,0,0,3,Data Scientist,03/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A,4.83,1
928,Providence College,2.54,Masters,Providence,N/A,N/A,1,1,4,Data Scientist,03/16,07/17,N/A,N/A,N/A,N/A,N/A,N/A,8.11,0
929,Providence College,3.26,Bachelors,Providence,F,N/A,0,N/A,4,Data Scientist,01/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,6.08,0
930,Providence College,2.96,Phd,Providence,N/A,0,0,N/A,4,Data Scientist,10/19,08/21,N/A,N/A,N/A,N/A,N/A,N/A,5.69,0
931,Providence College,2.72,Phd,Providence,N/A,1,0,1,0,Data Scientist,08/14,03/16,N/A,N/A,N/A,N/A,N/A,N/A,3.01,0
932,Providence College,3.9,Bachelors,Providence,N/A,0,0,1,0,Data Scientist,01/14,01/15,N/A,N/A,N/A,N/A,N/A,N/A,0.11,0
933,Providence College,3.26,Bachelors,Providence,F,0,0,N/A,2,Data Scientist,12/15,06/17,N/A,N/A,N/A,N/A,N/A,N/A,1.57,0
934,Providence College,2.26,Masters,Providence,N/A,1,1,N/A,2,Data Scientist,04/14,08/14,N/A,N/A,N/A,N/A,N/A,N/A,0.41,0
935,Providence College,3.12,Masters,Providence,N/A,1,0,0,1,Data Scientist,12/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,3.46,0
936,Providence College,3.56,Masters,Providence,F,0,0,1,1,Data Scientist,03/18,01/20,N/A,N/A,N/A,N/A,N/A,N/A,2.6,0
937,Providence College,3.42,Phd,Providence,M,N/A,1,0,2,Data Scientist,12/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,1.25,1
938,Providence College,2.34,Phd,Providence,M,1,1,N/A,0,Data Scientist,09/16,12/16,N/A,N/A,N/A,N/A,N/A,N/A,6.08,0
939,Providence College,3.94,Phd,Providence,M,1,1,0,3,Data Scientist,02/16,12/16,N/A,N/A,N/A,N/A,N/A,N/A,9.76,1
940,Providence College,2.9,Phd,Providence,N/A,0,1,N/A,2,Data Scientist,05/21,04/22,N/A,N/A,N/A,N/A,N/A,N/A,5.02,0
941,Providence College,2.32,Masters,Providence,M,N/A,1,N/A,0,Data Scientist,09/17,08/19,N/A,N/A,N/A,N/A,N/A,N/A,8.42,1
942,Providence College,2.36,Phd,Providence,F,1,1,0,2,Data Scientist,03/19,12/20,N/A,N/A,N/A,N/A,N/A,N/A,9.38,1
943,Providence College,2.2,Phd,Providence,N/A,0,1,1,4,Data Scientist,11/18,07/20,N/A,N/A,N/A,N/A,N/A,N/A,4.59,0
944,Providence College,3.61,Phd,Providence,N/A,1,1,0,2,Data Scientist,01/15,08/16,N/A,N/A,N/A,N/A,N/A,N/A,9.63,0
