,Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score,prediction
867,868,University of Nevada - Reno,2.41,Bachelors,Irvine,N/A,0,0,1,4,Forensic Accountant,09/21,05/22,Biomedical Engineer,04/21,03/23,N/A,N/A,N/A,4.73,0
868,869,Quantum-Veritas International University,2.51,Masters,Chula Vista,N/A,0,0,0,3,Paramedic,05/18,10/19,Social Media Coordinator,05/17,01/18,N/A,N/A,N/A,9.37,0
869,870,Blessing-Rieman College of Nursing,2.59,Phd,Riverside,M,1,0,0,0,Customer Service Manager,12/20,08/22,Real Estate Agent,08/20,12/21,Sales Representative,09/18,11/19,4.07,0
870,871,St. Joseph's College,3.19,Phd,San Diego,N/A,0,1,0,0,Data Scientist,12/16,05/17,Supply Chain Analyst,05/14,11/15,N/A,N/A,N/A,0.59,0
871,872,Montserrat College of Art,2.07,Masters,Portland,M,1,0,1,3,Speech-Language Pathologist,10/16,02/17,IT Consultant,07/14,06/15,Data Scientist,04/14,02/15,6.24,0
872,873,Lock Haven University of Pennsylvania,3.27,Bachelors,San Antonio,F,N/A,1,1,0,Logistician,06/16,12/16,Marine Biologist,11/15,10/16,Veterinarian,02/15,09/16,3.84,0
873,874,Howard Payne University,2.73,Phd,Portland,N/A,1,1,1,2,Dietitian,10/18,02/20,Real Estate Agent,05/18,08/19,N/A,N/A,N/A,2.7,0
874,875,Ripon College,2.59,Bachelors,Fort Wayne,N/A,N/A,0,N/A,3,Pharmacist,08/16,06/18,Urban Planner,05/15,01/16,Project Manager,08/14,06/15,9.31,0
875,876,Trinity University,3.76,Bachelors,Aurora,M,0,0,0,2,Chemical Technician,12/21,07/22,N/A,N/A,N/A,N/A,N/A,N/A,4.67,1
876,877,Alverno College,2.92,Bachelors,St. Louis,N/A,0,0,0,3,Financial Analyst,12/16,06/17,N/A,N/A,N/A,N/A,N/A,N/A,4.96,0
877,878,Purdue University,2.19,Bachelors,Riverside,M,1,0,N/A,2,Video Game Developer,05/16,05/18,N/A,N/A,N/A,N/A,N/A,N/A,3.16,0
878,879,St. Vincent College,3.65,Phd,Irvine,N/A,N/A,0,N/A,2,Pediatric Nurse,10/16,05/17,Wind Turbine Technician,10/14,12/15,Mechanical Engineer,08/14,05/15,3.12,0
879,880,College of St. Mary,2.1,Phd,Scottsdale,F,0,1,0,0,Quality Assurance Manager,10/19,08/20,Fashion Designer,09/16,02/17,Multimedia Artist,09/14,03/16,9.1,0
880,881,University of Nebraska - Lincoln,3.45,Bachelors,San Bernardino,F,1,0,1,3,Video Game Developer,04/17,03/18,N/A,N/A,N/A,N/A,N/A,N/A,9.85,1
881,882,Thomas More College of Liberal Arts,3.55,Bachelors,Winston–Salem,F,1,1,0,4,Investment Banker,11/18,08/19,Paramedic,09/15,01/17,N/A,N/A,N/A,4.74,0
882,883,State University of New York Health Sience Centre Syracuse,2.71,Masters,Charlotte,N/A,1,0,1,0,Civil Engineer,08/16,02/18,N/A,N/A,N/A,N/A,N/A,N/A,5.66,0
883,884,Wesley College Mississippi,3.65,Masters,Irving,N/A,0,1,0,2,Supply Chain Analyst,08/20,02/22,IT Consultant,05/14,07/15,N/A,N/A,N/A,8.84,0
884,885,St. Anthony College of Nursing,3.03,Masters,Austin,F,N/A,1,0,2,Supply Chain Analyst,07/14,04/16,AI Researcher,04/14,04/16,N/A,N/A,N/A,8.09,0
885,886,Florida International University,2.93,Phd,New York,F,0,1,N/A,4,Speech-Language Pathologist,06/15,01/17,Archaeologist,09/14,03/16,Logistician,03/14,02/15,9.92,0
886,887,University of New Haven,2.09,Masters,Anaheim,M,0,0,N/A,4,Web Developer,06/14,08/14,Software Developer,01/14,07/15,Quality Assurance Manager,01/14,08/14,4.77,1
887,888,Fort Valley State College,2.58,Phd,Milwaukee,M,N/A,0,1,2,Civil Engineer,04/14,12/15,Environmental Scientist,02/14,09/14,N/A,N/A,N/A,7.68,0
888,889,Southwest State University,3.86,Phd,Lexington,F,1,0,1,4,Real Estate Agent,07/20,12/21,Web Developer,05/14,11/15,N/A,N/A,N/A,8.67,0
889,890,California Coast University,2.78,Phd,Madison,F,0,1,0,1,Mechanical Engineer,03/14,11/14,Paramedic,01/14,11/14,N/A,N/A,N/A,8.59,1
890,891,Southern Methodist University,3.09,Phd,Paris,N/A,1,1,N/A,0,Aircraft Pilot,05/18,05/20,Software Developer,11/17,05/18,Aircraft Pilot,05/16,09/17,4.86,0
891,892,Pennsylvania State University - Schuylkill,3.06,Masters,Aurora,F,1,0,1,3,Pharmacist,02/18,06/19,N/A,N/A,N/A,N/A,N/A,N/A,8.91,0
892,893,Walla Walla College,3.18,Bachelors,Riverside,M,N/A,0,1,4,Veterinarian,06/16,05/17,Social Media Coordinator,09/14,09/15,N/A,N/A,N/A,6.23,0
893,894,Ohio Wesleyan University,2.12,Bachelors,Boise,M,N/A,1,1,4,Aircraft Pilot,10/21,02/22,Quality Assurance Manager,05/16,11/16,Occupational Therapist,10/14,04/16,5.25,0
894,895,Seattle University,2.72,Bachelors,Chesapeake,M,N/A,1,0,1,Mechanical Engineer,04/14,11/15,N/A,N/A,N/A,N/A,N/A,N/A,5.9,1
895,896,Stonehill College,3.45,Masters,Orlando,M,1,0,1,3,Biomedical Engineer,01/16,12/17,Software Developer,07/15,05/16,Customer Service Manager,12/14,08/15,8.26,0
896,897,Villa Julie College,2.4,Bachelors,Milwaukee,M,1,0,1,1,Quality Assurance Manager,12/20,09/21,N/A,N/A,N/A,N/A,N/A,N/A,3.0,0
897,898,Eastern New Mexico University,2.41,Masters,Tampa,M,0,0,N/A,3,Marketing Manager,03/19,01/20,Urban Planner,02/14,07/15,Speech-Language Pathologist,02/14,10/14,6.11,0
898,899,Medcenter One College of Nursing,2.02,Masters,Atlanta,F,1,1,N/A,0,Sales Representative,05/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,1.53,0
899,900,Regis College,2.87,Masters,Philadelphia,M,N/A,1,N/A,4,Data Scientist,12/14,03/15,Chemical Technician,04/14,02/16,N/A,N/A,N/A,4.02,1
900,901,Blackburn College,3.77,Bachelors,Detroit,M,N/A,0,0,0,Content Writer,06/16,10/17,Event Planner,06/16,04/18,Sales Representative,09/15,03/17,5.8,1
901,902,Auburn University,2.1,Bachelors,Norfolk,M,N/A,0,N/A,3,Archaeologist,06/17,02/19,N/A,N/A,N/A,N/A,N/A,N/A,2.08,0
902,903,Kansas City Art Institute,2.38,Bachelors,Baltimore,M,N/A,0,N/A,4,Aircraft Pilot,05/18,10/19,N/A,N/A,N/A,N/A,N/A,N/A,1.47,1
903,904,Westminster College New Wilmington,2.62,Phd,Stockton,F,1,0,N/A,1,Pharmacist,07/15,05/17,N/A,N/A,N/A,N/A,N/A,N/A,8.9,0
904,905,Union Theological Seminary (UTS),3.46,Masters,Denver,N/A,N/A,0,N/A,2,Firefighter,08/20,05/21,Logistician,12/17,03/19,N/A,N/A,N/A,9.55,0
905,906,American InterContinental University - Atlanta,3.28,Phd,Irvine,N/A,0,1,1,1,Social Media Coordinator,05/17,08/17,Wind Turbine Technician,09/15,05/16,Project Manager,06/15,04/17,2.91,0
906,907,Pennsylvania State University at Harrisburg - The Capital College,2.83,Masters,Lincoln,N/A,1,0,0,2,Content Writer,10/15,05/16,N/A,N/A,N/A,N/A,N/A,N/A,4.55,0
907,908,Texas College of Osteopathic Medicine,3.52,Bachelors,Chesapeake,N/A,N/A,1,1,1,Pediatric Nurse,05/15,02/17,Speech-Language Pathologist,09/14,04/15,N/A,N/A,N/A,7.24,0
908,909,Bluefield College,3.22,Masters,Louisville,M,0,1,1,3,Dental Hygienist,06/17,10/17,Social Media Coordinator,09/14,01/16,N/A,N/A,N/A,4.79,0
909,910,Illinois Valley Community College,3.79,Masters,Arlington,N/A,N/A,1,0,0,Investment Banker,12/16,02/17,Marketing Manager,09/16,05/18,N/A,N/A,N/A,6.57,0
910,911,Lakeview College of Nursing,3.64,Phd,Winston–Salem,N/A,1,1,1,2,Quality Assurance Manager,02/15,11/15,Archaeologist,01/14,03/14,N/A,N/A,N/A,5.94,0
911,912,Saginaw Valley State University,2.51,Masters,Tulsa,F,1,1,N/A,3,Environmental Scientist,01/15,10/16,Construction Site Manager,05/14,08/15,N/A,N/A,N/A,5.23,1
912,913,University of Mississippi,2.54,Bachelors,Jacksonville,F,0,1,0,0,Pediatric Nurse,06/17,02/19,SEO Specialist,01/14,04/15,N/A,N/A,N/A,8.09,0
913,914,Ohio State University,2.25,Masters,Cincinnati,F,1,1,1,0,Occupational Therapist,01/14,10/15,Cybersecurity Analyst,01/14,05/15,N/A,N/A,N/A,8.4,0
914,915,University of North Alabama,2.67,Masters,Portland,M,0,1,1,4,Pediatric Nurse,10/20,08/22,Investment Banker,12/19,04/21,Occupational Therapist,03/19,03/20,2.35,1
915,916,Evergreen State College,4.0,Masters,Wichita,M,N/A,0,N/A,4,Pediatric Nurse,08/20,11/20,Data Scientist,07/20,03/21,Content Writer,02/17,05/18,8.12,0
916,917,Edison Community College,2.81,Phd,Dallas,M,1,0,1,4,Urban Planner,04/15,12/15,Supply Chain Analyst,08/14,04/15,N/A,N/A,N/A,5.6,1
917,918,Maine College of Art,2.44,Masters,Jacksonville,F,N/A,0,1,2,Mechanical Engineer,03/15,02/16,N/A,N/A,N/A,N/A,N/A,N/A,6.42,1
918,919,Metropolitan State University,3.52,Masters,Fresno,N/A,N/A,0,1,2,Fashion Designer,04/20,12/20,N/A,N/A,N/A,N/A,N/A,N/A,1.27,0
919,920,State University of New York College of Technology at Alfred,3.08,Phd,Portland,F,1,0,0,0,AI Researcher,02/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,8.39,0
920,921,Yonok University,2.3,Phd,Virginia Beach,M,N/A,1,0,2,Industrial Designer,06/14,01/15,Sales Representative,02/14,11/15,N/A,N/A,N/A,1.87,1
921,922,Niagara University,2.76,Phd,Pittsburgh,F,0,1,1,0,Occupational Therapist,08/20,01/21,N/A,N/A,N/A,N/A,N/A,N/A,5.26,1
922,923,Dallas Baptist University,2.83,Phd,Chula Vista,N/A,0,1,1,3,Logistician,02/17,03/18,Supply Chain Analyst,03/16,08/17,Wind Turbine Technician,10/15,07/16,8.56,0
923,924,Baze University Abuja,3.51,Bachelors,Riverside,M,0,1,N/A,1,Dietitian,02/15,11/16,Archaeologist,06/14,09/15,Speech-Language Pathologist,05/14,10/15,6.8,0
924,925,Colorado College,2.04,Bachelors,El Paso,N/A,1,1,0,0,Forensic Accountant,05/19,04/21,Dental Hygienist,09/15,11/15,Dietitian,01/14,12/14,3.88,0
925,926,Brenau University,2.54,Masters,Nashville,N/A,N/A,0,0,0,Logistician,12/17,10/19,Sales Representative,05/17,02/18,Graphic Designer,09/15,11/16,2.81,0
926,927,Fontbonne College,3.04,Bachelors,Houston,M,N/A,0,0,3,Software Developer,03/16,06/17,Fashion Designer,01/15,06/16,N/A,N/A,N/A,8.64,1
927,928,Richard Stockton College of New Jersey,2.54,Masters,Tucson,N/A,N/A,1,1,4,Pediatric Nurse,03/16,07/17,Pharmacist,05/15,10/16,Investment Banker,01/14,10/14,2.97,0
928,929,Tri-College University,3.26,Bachelors,Virginia Beach,F,N/A,0,N/A,4,Web Developer,01/20,08/21,N/A,N/A,N/A,N/A,N/A,N/A,6.75,1
929,930,State University of New York (SUNY),2.96,Phd,Glendale,N/A,0,0,N/A,4,Sales Representative,10/19,08/21,N/A,N/A,N/A,N/A,N/A,N/A,6.58,0
930,931,St. Mary's University of Minnesota,2.72,Phd,Omaha,N/A,1,0,1,0,SEO Specialist,08/14,03/16,Quality Assurance Manager,03/14,08/14,Firefighter,03/14,06/14,7.82,0
931,932,MacMurray College,3.9,Bachelors,Tucson,N/A,0,0,1,0,Real Estate Agent,01/14,01/15,Event Planner,01/14,10/14,Paramedic,01/14,03/14,4.13,0
932,933,Mississippi University for Women,3.26,Bachelors,Corpus Christi,F,0,0,N/A,2,Customer Service Manager,12/15,06/17,Dental Hygienist,11/14,09/16,Telecommunications Specialist,01/14,02/15,8.75,1
933,934,Missouri University of Science and Technology,2.26,Masters,Seattle,N/A,1,1,N/A,2,Investment Banker,04/14,08/14,N/A,N/A,N/A,N/A,N/A,N/A,9.01,0
934,935,Peace College,3.12,Masters,Toledo,N/A,1,0,0,1,Archaeologist,12/18,05/19,N/A,N/A,N/A,N/A,N/A,N/A,3.93,0
935,936,Baylor College of Dentistry,3.56,Masters,Virginia Beach,F,0,0,1,1,Chemical Technician,03/18,01/20,Biomedical Engineer,05/17,12/18,Pediatric Nurse,06/16,03/18,5.31,1
936,937,Antioch New England Graduate School,3.42,Phd,Arlington,M,N/A,1,0,2,Financial Analyst,12/21,05/22,N/A,N/A,N/A,N/A,N/A,N/A,5.74,0
937,938,University of Arkansas for Medical Sciences,2.34,Phd,Memphis,M,1,1,N/A,0,Logistician,09/16,12/16,N/A,N/A,N/A,N/A,N/A,N/A,3.73,1
938,939,ITT Technical Institute Indianapolis,3.94,Phd,Reno,M,1,1,0,3,Chemical Technician,02/16,12/16,Public Relations Officer,04/15,12/15,N/A,N/A,N/A,0.21,0
939,940,Institute of Paper Science and Technology,2.9,Phd,Phoenix,N/A,0,1,N/A,2,Environmental Scientist,05/21,04/22,Occupational Therapist,05/15,09/16,Firefighter,10/14,10/15,5.81,0
940,941,Bluefield College,2.32,Masters,Tucson,M,N/A,1,N/A,0,Civil Engineer,09/17,08/19,Environmental Scientist,04/16,03/17,Social Media Coordinator,03/14,01/15,0.68,0
941,942,Wentworth Institute of Technology,2.36,Phd,Tucson,F,1,1,0,2,Firefighter,03/19,12/20,High School Teacher,06/16,08/16,N/A,N/A,N/A,6.29,0
942,943,Lubbock Christian University,2.2,Phd,Laredo,N/A,0,1,1,4,Content Writer,11/18,07/20,Pediatric Nurse,12/16,10/17,N/A,N/A,N/A,7.13,0
943,944,Point Loma Nazarene College,3.61,Phd,Arlington,N/A,1,1,0,2,Pediatric Nurse,01/15,08/16,N/A,N/A,N/A,N/A,N/A,N/A,4.49,0
944,945,Art Institute of Southern California,2.24,Phd,Lexington,N/A,N/A,0,0,4,Marketing Manager,03/14,02/16,Dietitian,02/14,07/14,N/A,N/A,N/A,4.94,0
945,946,Mercer University,2.25,Bachelors,Reno,M,0,1,1,0,Urban Planner,07/16,07/18,Supply Chain Analyst,02/16,06/16,Speech-Language Pathologist,06/14,12/14,0.22,0
946,947,Rosemont College,3.7,Masters,Chicago,M,0,1,1,4,Urban Planner,10/21,06/22,Social Media Coordinator,08/14,12/15,Dental Hygienist,06/14,12/15,0.12,0
947,948,Brown University,2.69,Masters,Boise,M,N/A,0,0,2,Logistician,03/14,10/14,IT Consultant,02/14,02/15,Web Developer,01/14,09/14,6.2,1
948,949,Lasell College,2.06,Phd,Chula Vista,N/A,0,1,N/A,4,Financial Analyst,08/14,03/15,N/A,N/A,N/A,N/A,N/A,N/A,0.03,0
949,950,Samuel Merritt College,2.1,Bachelors,Boise,F,N/A,1,0,3,Marketing Manager,08/16,11/16,N/A,N/A,N/A,N/A,N/A,N/A,8.81,0
950,951,University of NorthWest,2.28,Masters,Toledo,N/A,0,1,N/A,4,Speech-Language Pathologist,12/18,05/20,Archaeologist,10/15,02/17,Dietitian,06/15,08/16,6.21,0
951,952,Samford University,2.43,Masters,Atlanta,F,N/A,1,1,4,Multimedia Artist,04/16,12/17,Graphic Designer,04/14,02/15,Social Media Coordinator,02/14,09/14,4.8,0
952,953,University of New Orleans,3.33,Phd,New York,N/A,1,0,1,1,Sales Representative,08/17,10/18,N/A,N/A,N/A,N/A,N/A,N/A,4.66,0
953,954,Union University,2.31,Phd,Los Angeles,F,1,0,N/A,3,Construction Site Manager,02/19,09/20,N/A,N/A,N/A,N/A,N/A,N/A,7.1,1
954,955,Texas A&M International University,2.24,Masters,Saint Paul,N/A,1,1,0,0,Web Developer,02/19,01/21,Chemical Technician,08/18,07/19,N/A,N/A,N/A,2.1,0
955,956,St. Luke's College,3.53,Masters,Jersey City,N/A,0,0,1,4,Mechanical Engineer,12/18,10/20,N/A,N/A,N/A,N/A,N/A,N/A,9.12,0
956,957,American University,3.34,Bachelors,Mesa,F,N/A,0,N/A,3,Logistician,05/21,03/23,N/A,N/A,N/A,N/A,N/A,N/A,1.63,1
957,958,San Francisco Art Institute,2.87,Masters,Jersey City,F,N/A,0,N/A,0,AI Researcher,12/19,09/21,Video Game Developer,05/15,10/16,AI Researcher,01/15,08/15,2.39,0
958,959,Southern Polytechnic State Univerisity,3.1,Masters,Austin,F,1,0,0,3,Biomedical Engineer,04/17,08/18,Video Game Developer,04/17,04/18,Financial Analyst,07/14,01/15,0.22,0
959,960,Tuskegee University,2.62,Phd,El Paso,F,1,0,N/A,1,Financial Analyst,02/20,03/21,Industrial Designer,03/19,09/19,Supply Chain Analyst,08/17,12/18,6.19,0
960,961,Piedmont College,2.97,Masters,San Jose,F,1,0,N/A,0,AI Researcher,12/19,01/21,Mechanical Engineer,12/17,12/18,N/A,N/A,N/A,7.31,0
961,962,Stonehill College,3.01,Phd,Scottsdale,F,N/A,1,0,0,Civil Engineer,04/21,01/22,N/A,N/A,N/A,N/A,N/A,N/A,2.14,1
962,963,Trinity College of Florida,2.77,Masters,Garland,F,1,1,1,4,Chemical Technician,10/17,10/18,Firefighter,04/17,02/19,N/A,N/A,N/A,9.54,0
963,964,St. Bernard's Institute,3.81,Masters,San Jose,F,0,0,1,2,Human Resources Specialist,11/17,09/19,N/A,N/A,N/A,N/A,N/A,N/A,7.42,0
964,965,University of Charleston,2.03,Masters,Winston–Salem,N/A,1,0,1,0,Industrial Designer,02/17,09/18,N/A,N/A,N/A,N/A,N/A,N/A,3.0,0
965,966,William Penn College,3.56,Bachelors,Laredo,F,1,0,N/A,0,Environmental Scientist,03/16,11/16,Chemical Technician,05/15,01/16,Civil Engineer,07/14,01/16,9.14,0
966,967,Shenandoah University,2.25,Phd,Madison,F,N/A,1,N/A,1,IT Consultant,02/20,01/22,N/A,N/A,N/A,N/A,N/A,N/A,9.06,1
967,968,IMPAC University,3.6,Bachelors,San Jose,N/A,0,1,0,1,Financial Analyst,07/21,10/21,Web Developer,01/17,04/18,N/A,N/A,N/A,2.41,0
968,969,Emporia State University,3.23,Masters,Toledo,N/A,N/A,1,N/A,1,Customer Service Manager,03/15,03/16,High School Teacher,08/14,10/15,Logistician,02/14,06/15,2.47,0
969,970,Fatima mata national college kollam kerala,3.69,Bachelors,Tulsa,M,0,1,N/A,4,Supply Chain Analyst,06/17,01/19,Web Developer,01/16,03/17,N/A,N/A,N/A,8.13,0
970,971,Mount St. Clare College,2.2,Phd,Norfolk,M,0,1,1,0,IT Consultant,04/18,05/19,Archaeologist,03/17,09/18,N/A,N/A,N/A,6.78,1
971,972,Northcentral University,3.12,Masters,Fresno,F,1,1,N/A,1,Aircraft Pilot,08/19,12/20,Sales Representative,08/15,04/16,Customer Service Manager,05/15,08/15,3.29,0
972,973,Spalding University,3.0,Bachelors,Anaheim,F,1,0,N/A,1,Financial Analyst,11/14,03/16,N/A,N/A,N/A,N/A,N/A,N/A,4.09,0
973,974,Kenyon College,3.41,Bachelors,Kansas City,M,N/A,1,N/A,3,Multimedia Artist,07/19,10/20,AI Researcher,07/15,12/15,N/A,N/A,N/A,5.67,0
974,975,Life University,3.07,Phd,San Bernardino,M,N/A,1,0,3,Financial Analyst,06/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,6.35,1
975,976,Mount Olive College,3.08,Bachelors,Seattle,F,N/A,1,N/A,1,Urban Planner,12/19,11/20,Biomedical Engineer,03/19,02/21,Industrial Designer,11/15,05/16,7.57,0
976,977,Columbia International University,2.86,Phd,Memphis,M,0,0,0,4,Civil Engineer,03/17,08/18,N/A,N/A,N/A,N/A,N/A,N/A,9.98,1
977,978,Mount St. Mary College,2.62,Masters,Kansas City,F,N/A,1,1,2,Multimedia Artist,09/18,12/19,N/A,N/A,N/A,N/A,N/A,N/A,4.77,1
978,979,St. Mary's College of Maryland,2.96,Masters,Arlington,N/A,0,0,N/A,3,Pharmacist,03/20,01/22,Supply Chain Analyst,10/17,02/19,Aircraft Pilot,01/17,09/17,8.43,0
979,980,Indiana University - Southeast,2.24,Bachelors,Charlotte,N/A,0,0,0,3,Web Developer,05/20,02/21,N/A,N/A,N/A,N/A,N/A,N/A,6.4,0
980,981,Cornish College of the Arts,3.92,Masters,Buffalo,M,0,1,1,0,Real Estate Agent,04/15,10/15,Supply Chain Analyst,07/14,11/15,N/A,N/A,N/A,5.41,1
981,982,North Carolina State University,3.43,Masters,Louisville,N/A,0,1,N/A,0,Biomedical Engineer,11/18,04/20,Marine Biologist,10/18,01/20,N/A,N/A,N/A,7.67,0
982,983,Pennsylvania State University,3.9,Bachelors,Las Vegas,N/A,0,1,0,1,Supply Chain Analyst,09/17,07/19,SEO Specialist,11/14,07/16,N/A,N/A,N/A,8.81,0
983,984,State University of New York at Stony Brook,2.45,Masters,Santa Ana,N/A,1,0,0,0,Fashion Designer,04/18,08/19,N/A,N/A,N/A,N/A,N/A,N/A,9.82,0
984,985,International Academy of  Merchandising and Design Chicago,3.76,Bachelors,Norfolk,N/A,0,1,1,0,Telecommunications Specialist,08/17,03/19,Occupational Therapist,09/15,02/16,N/A,N/A,N/A,2.87,0
985,986,Atlantic University,3.62,Phd,Gilbert,F,0,0,N/A,2,IT Consultant,01/15,11/16,N/A,N/A,N/A,N/A,N/A,N/A,6.78,0
986,987,University of Nebraska - Lincoln,3.35,Phd,Hialeah,F,1,0,N/A,4,SEO Specialist,04/16,08/16,N/A,N/A,N/A,N/A,N/A,N/A,3.75,0
987,988,John Marshall Law School,3.25,Phd,Omaha,M,1,1,N/A,1,Veterinarian,06/17,06/18,N/A,N/A,N/A,N/A,N/A,N/A,6.87,0
988,989,Southwestern Assemblies of God University,2.63,Bachelors,Arlington,N/A,1,1,0,2,Investment Banker,02/16,08/17,N/A,N/A,N/A,N/A,N/A,N/A,3.92,0
989,990,Reed College,3.63,Bachelors,San Jose,N/A,N/A,1,N/A,1,Video Game Developer,02/17,10/17,Real Estate Agent,03/16,01/17,Web Developer,10/14,09/16,2.06,0
990,991,Georgetown College,3.0,Masters,Chula Vista,N/A,N/A,0,0,4,Sales Representative,11/14,06/16,Aircraft Pilot,04/14,10/15,N/A,N/A,N/A,1.31,0
991,992,Kent State University - Tuscarawas,2.14,Masters,Oklahoma City,M,0,1,0,1,IT Consultant,10/19,08/20,Data Scientist,02/19,12/20,N/A,N/A,N/A,3.83,1
992,993,Mayo Medical School,2.63,Masters,Reno,F,0,0,1,0,Chemical Technician,05/19,01/21,N/A,N/A,N/A,N/A,N/A,N/A,5.83,0
993,994,American InterContinental University - Georgia,3.87,Masters,Saint Paul,N/A,0,1,0,4,Industrial Designer,10/19,05/21,Investment Banker,05/18,01/19,Firefighter,05/14,05/15,2.75,0
994,995,King's College,3.7,Masters,Fort Worth,F,0,0,1,2,Project Manager,09/19,02/20,N/A,N/A,N/A,N/A,N/A,N/A,9.97,0
995,996,University of South Carolina - Lancaster,3.96,Bachelors,St. Louis,M,1,1,1,2,Veterinarian,12/19,08/20,Investment Banker,02/18,04/19,N/A,N/A,N/A,6.9,0
996,997,Bratislava International School of Liberal Arts,3.26,Bachelors,Plano,F,N/A,1,N/A,3,Civil Engineer,03/20,01/22,Web Developer,08/18,06/19,N/A,N/A,N/A,5.2,0
997,998,Florida Southern College,2.5,Phd,Oklahoma City,N/A,1,0,1,2,Video Game Developer,06/21,02/22,Content Writer,04/19,12/19,Pharmacist,02/18,05/18,5.32,0
998,999,Morrison College,2.33,Phd,Dallas,F,N/A,0,N/A,3,Firefighter,05/19,09/19,N/A,N/A,N/A,N/A,N/A,N/A,1.86,1
999,1000,Pillsbury Baptist Bible College,2.37,Phd,Chesapeake,F,1,1,1,0,Video Game Developer,07/19,04/20,Logistician,05/16,03/18,Environmental Scientist,10/14,03/15,1.2,0
1000,1001,Rochester College,2.04,Phd,Chicago,M,0,0,0,2,Event Planner,05/14,08/14,N/A,N/A,N/A,N/A,N/A,N/A,3.09,0
1001,1002,Mississippi University for Women,2.78,Bachelors,El Paso,M,N/A,0,N/A,4,Video Game Developer,08/21,05/23,Civil Engineer,05/17,09/18,SEO Specialist,10/15,02/16,5.21,0
1002,1003,University of Malawi,2.38,Bachelors,Winston–Salem,M,0,0,0,3,IT Consultant,10/21,08/23,Cybersecurity Analyst,01/18,03/19,N/A,N/A,N/A,6.1,0
1003,1004,University of Texas at Austin,2.82,Bachelors,Garland,M,N/A,0,N/A,2,Logistician,05/17,02/19,Investment Banker,11/14,04/16,Firefighter,09/14,08/15,5.83,0
1004,1005,Elmira College,3.87,Masters,Durham,F,N/A,1,0,0,Marine Biologist,04/19,04/21,Wind Turbine Technician,03/19,02/21,N/A,N/A,N/A,3.1,0
1005,1006,Kent State University - Tuscarawas,2.86,Masters,Greensboro,F,0,0,1,4,Cybersecurity Analyst,07/18,11/19,Dental Hygienist,08/15,07/16,N/A,N/A,N/A,4.66,0
1006,1007,Lakeland College,3.76,Phd,Buffalo,M,0,1,N/A,4,Aircraft Pilot,01/15,07/15,N/A,N/A,N/A,N/A,N/A,N/A,3.36,1
1007,1008,Minnesota School of Professional Psychology,3.21,Masters,San Diego,M,0,1,N/A,0,Mechanical Engineer,01/17,06/18,Quality Assurance Manager,01/14,03/15,Chemical Technician,01/14,05/15,3.09,0
1008,1009,Midland Lutheran College,2.49,Bachelors,Minneapolis,N/A,1,1,N/A,2,Telecommunications Specialist,10/20,04/22,Event Planner,01/16,03/17,Environmental Scientist,02/14,10/15,3.6,0
1009,1010,University of Baltimore,2.71,Phd,Seattle,N/A,N/A,0,1,1,Video Game Developer,12/21,08/22,SEO Specialist,07/20,03/22,Forensic Accountant,12/14,11/15,2.27,0
1010,1011,University of Alaska - Anchorage,2.17,Phd,Fort Wayne,M,N/A,1,0,2,Software Developer,12/15,04/17,Dietitian,11/15,04/16,Dental Hygienist,08/14,09/15,4.43,0
1011,1012,Seton Hall University,2.67,Masters,Houston,F,N/A,1,1,3,Logistician,05/15,01/17,N/A,N/A,N/A,N/A,N/A,N/A,3.08,0
1012,1013,Daniel Webster College,3.36,Phd,Portland,M,0,1,1,3,Wind Turbine Technician,03/20,09/21,N/A,N/A,N/A,N/A,N/A,N/A,9.63,1
1013,1014,University Of Hawaii - System,2.14,Masters,Fort Worth,F,N/A,1,1,2,Human Resources Specialist,02/19,10/19,N/A,N/A,N/A,N/A,N/A,N/A,5.31,0
1014,1015,Memphis College of Art,2.41,Masters,Baltimore,F,N/A,1,0,3,Customer Service Manager,10/15,02/17,Human Resources Specialist,05/15,07/16,N/A,N/A,N/A,1.76,1
1015,1016,Carthage College,2.76,Phd,Scottsdale,N/A,0,0,1,1,Construction Site Manager,01/16,01/18,Data Scientist,07/14,02/16,N/A,N/A,N/A,2.55,0
1016,1017,Judson College Elgin,3.96,Masters,Fresno,M,0,1,N/A,1,Pediatric Nurse,10/15,02/17,Environmental Scientist,09/14,04/16,N/A,N/A,N/A,4.73,1
1017,1018,Washington State University,3.57,Masters,Newark,M,N/A,0,1,4,Human Resources Specialist,11/20,07/21,N/A,N/A,N/A,N/A,N/A,N/A,8.29,1
1018,1019,American University,3.47,Masters,St. Louis,F,1,1,0,3,Sales Representative,02/20,01/21,Project Manager,07/16,06/17,N/A,N/A,N/A,7.05,0
1019,1020,East Tennessee State University,2.23,Masters,Durham,M,0,1,N/A,2,Construction Site Manager,01/16,12/17,Cybersecurity Analyst,10/14,06/16,SEO Specialist,05/14,12/14,4.2,1
